Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
So 18. Apr 08:48:50 CEST 2021
Hostname :  wr14
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Tesnorflow version : 2.1.0
[15500]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.5774 	 reg_loss: 0.0497 	 lambda: 0.20 	 t: 49.71 sec
[15600]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.5788 	 reg_loss: 0.0513 	 lambda: 0.20 	 t: 49.62 sec
[15700]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.7364 	 reg_loss: 0.0447 	 lambda: 0.20 	 t: 49.64 sec
[15800]  RMSE: 0.0943 	 NLL: -1.7814 	 loss: -1.6447 	 reg_loss: 0.0505 	 lambda: 0.20 	 t: 49.61 sec
[15900]  RMSE: 0.0943 	 NLL: -1.7893 	 loss: -1.7807 	 reg_loss: 0.0433 	 lambda: 0.20 	 t: 50.33 sec
[16000]  RMSE: 0.0943 	 NLL: -1.7893 	 loss: -1.4800 	 reg_loss: 0.0554 	 lambda: 0.20 	 t: 49.73 sec
[16100]  RMSE: 0.0943 	 NLL: -1.7893 	 loss: -1.7428 	 reg_loss: 0.0453 	 lambda: 0.20 	 t: 49.68 sec
[16200]  RMSE: 0.0943 	 NLL: -1.8382 	 loss: -1.8306 	 reg_loss: 0.0383 	 lambda: 0.20 	 t: 50.38 sec
[16300]  RMSE: 0.0943 	 NLL: -1.8382 	 loss: -1.5327 	 reg_loss: 0.0584 	 lambda: 0.20 	 t: 49.66 sec
[16400]  RMSE: 0.0943 	 NLL: -1.8382 	 loss: -1.6445 	 reg_loss: 0.0543 	 lambda: 0.20 	 t: 49.66 sec
[16500]  RMSE: 0.0943 	 NLL: -1.8382 	 loss: -1.5926 	 reg_loss: 0.0547 	 lambda: 0.20 	 t: 49.67 sec
[16600]  RMSE: 0.0943 	 NLL: -1.8382 	 loss: -1.5746 	 reg_loss: 0.0570 	 lambda: 0.20 	 t: 49.70 sec
