Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 23:13:16 CEST 2021
Hostname :  wr17
####### trying gpu
#######  Training Laplace
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[20300] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.6430 	 t: 26.93 sec
[20400] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.5037 	 t: 25.98 sec
[20500] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.5389 	 t: 25.87 sec
[20600] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.6142 	 t: 25.92 sec
[20700] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.4115 	 t: 26.01 sec
[20800] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.6053 	 t: 26.01 sec
[20900] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.5664 	 t: 25.96 sec
[21000] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.3434 	 t: 25.97 sec
[21100] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.7241 	 t: 26.11 sec
[21200] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.3882 	 t: 26.00 sec
[21300] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.6848 	 t: 25.96 sec
[21400] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.2982 	 t: 25.98 sec
[21500] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.8136 	 t: 26.53 sec
[21600] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.6369 	 t: 26.36 sec
[21700] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.4395 	 t: 26.04 sec
[21800] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.3481 	 t: 26.29 sec
[21900] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.5497 	 t: 25.99 sec
[22000] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.7291 	 t: 25.99 sec
[22100] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.5512 	 t: 26.08 sec
[22200] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.5808 	 t: 25.98 sec
[22300] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.5436 	 t: 25.91 sec
[22400] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.5771 	 t: 25.91 sec
[22500] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.2351 	 t: 26.05 sec
[22600] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.5894 	 t: 25.91 sec
[22700] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.4770 	 t: 25.82 sec
[22800] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.4670 	 t: 26.61 sec
[22900] 	 RMSE: 0.0953 	 NLL: -0.7735 	 train_loss: -1.3466 	 t: 26.01 sec
